THETA1,THETA2,THETA3,THETA4,THETA5,THETA6,THETA7,THETA8,THETA9,OMEGA11,OMEGA21,OMEGA22,OMEGA31,OMEGA32,OMEGA33,OMEGA41,OMEGA42,OMEGA43,OMEGA44,SIGMA11
14.16,10.97,20.03,10.91,0.337,0.3039,0.05565,0.3772,0.4609,0.0835,0.000463,0.09891,0.01049,-0.0133,0.1653,0.01488,0.01002,-0.02206,0.08826,0
15.35,9.914,21.98,12.78,-0.4331,1.446,0.06044,0.4023,0.3771,0.08506,0.004462,0.09831,-0.001347,0.02162,0.1657,-0.003871,0.002579,0.03597,0.0748,0
14.37,11.16,18.9,11.3,-0.8252,1.315,0.04145,0.7025,0.462,0.0937,0.012,0.1221,0.004283,0.01501,0.126,0.003394,0.007613,-0.003625,0.0676,0
14.12,10.98,24.05,12.03,0.07909,0.3177,0.0632,0.1996,0.3387,0.1519,-0.01352,0.1207,0.008654,0.004111,0.1224,-0.00568,0.004207,-0.006772,0.06774,0
14.44,10.52,18.41,10.79,-0.3088,2.215,-0.01108,0.2132,0.4948,0.08511,0.01438,0.1237,-0.002663,-0.007264,0.1119,-0.001751,-0.01628,0.008341,0.07686,0
14.17,9.219,19.56,12.02,-0.8105,0.1461,0.01788,1.077,0.2881,0.09314,0.01057,0.09376,0.01126,0.001295,0.09734,0.004968,0.009305,-0.005678,0.08161,0
14.95,10.77,14.34,11.29,-0.9519,1.419,0.058,0.458,0.224,0.1232,-0.0227,0.1288,-0.00187,-0.03163,0.1494,-0.002638,-0.004195,0.001252,0.05674,0
14.37,8.922,19.34,12.98,-0.4483,0.8605,0.04875,-0.1312,0.7684,0.1027,0.01577,0.13,-0.01138,-0.0102,0.1083,-0.02389,0.001547,-0.000707,0.08509,0
13.64,10.95,20.79,10.71,-0.7175,1.293,0.104,0.1091,0.7638,0.07984,-0.005585,0.08874,-0.002176,-0.006004,0.1048,-0.005605,-0.01441,-0.000785,0.08387,0
15.08,10.14,19.34,13.17,0.4506,1.436,0.04119,0.1339,0.648,0.07443,0.002869,0.1298,-0.008263,0.02256,0.0875,0.008276,-0.004643,0.003035,0.08553,0
12.27,11.49,17.9,11.43,-1.009,0.8882,0.02056,0.4135,0.6858,0.1366,0.02131,0.1268,0.004773,-0.004699,0.1122,0.0136,-0.02091,-0.009689,0.06527,0
13.98,11.26,17.07,12.26,-0.6111,1.096,-0.0217,0.6821,0.8345,0.09783,-0.01458,0.08296,0.000343,0.005476,0.1296,-0.007278,0.004376,-0.005416,0.09424,0
14.26,9.273,17.66,15.13,-0.3765,1.285,0.05653,-0.1541,0.6349,0.09663,0.0179,0.0989,0.005342,-0.007678,0.1017,-0.01304,0.005907,0.003211,0.08226,0
16.26,10.6,19.26,12.72,-0.1753,2.07,0.03358,-0.6386,0.7978,0.08532,-0.02577,0.1164,-0.001246,0.0129,0.1265,-0.006883,0.01435,0.003566,0.1092,0
14.46,11,22.58,15.74,0.1075,0.784,0.0599,-0.1288,0.5273,0.1186,0.009162,0.084,-0.001288,0.01165,0.124,0.003271,0.007779,-0.009358,0.07691,0
12.39,9.161,20.75,13.74,-0.7172,0.7954,0.03429,-0.1148,0.7499,0.08811,-0.01395,0.1154,0.008775,0.01583,0.08351,0.01317,0.005285,0.001406,0.06251,0
16.31,10.66,16.66,14.84,-0.2179,1.081,0.003761,-0.07507,0.08949,0.09769,-0.0134,0.1104,-0.01002,-0.002634,0.08718,0.02135,0.00404,0.002037,0.08579,0
13.17,13.13,15.23,13.05,-0.8714,2.054,0.02902,0.204,0.83,0.08031,-0.01042,0.1093,0.007367,-0.02025,0.1034,0.003964,-0.008038,0.000346,0.1015,0
12.85,13.42,19.75,13.16,-0.561,1.578,0.007181,0.4355,0.7884,0.06386,0.01389,0.08847,-0.004959,0.007648,0.1001,0.004156,-0.002963,-0.006134,0.08488,0
13.5,10.65,18.46,11.48,-1.25,0.7294,0.04013,-0.1231,0.3419,0.09001,-0.004134,0.09606,-0.01184,0.03505,0.1107,0.01131,-0.00911,0.009136,0.08038,0
14.82,11.57,16.56,15.05,-0.5428,1.169,0.0235,1.086,1.004,0.1011,-0.008556,0.1008,-0.01228,-0.01953,0.122,-0.005976,0.01582,0.00729,0.07746,0
15.04,11.12,19.85,13.07,-0.2399,0.5356,0.03468,-0.08097,0.4591,0.07794,-0.02481,0.1438,0.004486,0.003079,0.1179,-0.006954,-0.02338,-0.01224,0.09182,0
14.84,12.7,17.3,12.99,-0.3035,1.701,0.04689,-0.341,0.3304,0.0732,0.008248,0.1163,0.008302,0.0121,0.122,-0.008397,-0.01979,-0.03196,0.09421,0
15.09,12.16,18.52,12.26,-0.3504,0.9047,0.006534,0.5657,0.1934,0.07573,-0.01469,0.09308,0.00327,-0.00717,0.1074,0.01029,-0.0074,0.003336,0.08864,0
15.4,10.4,17.48,10.7,-0.8465,0.4152,0.06262,-0.464,0.8437,0.08472,-0.002653,0.1104,-0.00967,0.009238,0.1361,-0.001696,-0.000267,0.004721,0.07319,0
14.13,10.37,14.85,10.42,-0.6411,1.086,0.07806,0.1438,0.9896,0.07688,-0.00756,0.1516,-0.007173,0.008298,0.1143,-0.01757,0.002777,-0.000555,0.07468,0
14.63,10.06,17.86,13.43,-0.02456,0.5005,0.002782,0.1685,0.6975,0.07936,-0.005665,0.1045,0.000801,-0.01282,0.09326,-0.001574,0.01279,0.004032,0.07161,0
13.72,11.34,21.11,12.55,0.3078,0.2314,0.0257,-0.1245,0.5188,0.1115,0.006743,0.1236,-0.01715,0.008557,0.111,-0.03035,-0.02652,-0.01087,0.09119,0
15.51,10.43,19.68,11.56,-0.5737,0.2611,0.0239,0.141,0.5194,0.1039,-0.002608,0.1139,0.005732,-0.00376,0.08212,-0.008934,0.02801,-0.00326,0.0969,0
15.88,10.6,18.91,11.27,-0.8025,1.951,0.001267,-0.2776,0.2261,0.08129,-0.0105,0.07817,-0.013,0.01056,0.1218,-0.01304,-0.006529,0.00847,0.05926,0
14.49,8.293,15.61,13.95,-0.7666,0.8553,0.0291,-0.564,0.8799,0.1271,0.001118,0.1041,0.006717,0.01913,0.09908,-0.005718,-0.004704,0.00529,0.07587,0
14.5,11.92,15.2,13.11,-0.924,1.404,0.05668,0.1954,-0.08345,0.08978,-0.01543,0.1258,0.006221,0.003749,0.1065,0.006541,-0.01224,-0.007044,0.07609,0
14.34,12.13,17.19,12.97,0.4087,1.355,0.01572,-0.09882,0.4144,0.1012,-0.01675,0.1246,-0.01003,0.01051,0.1111,-0.004628,-0.00482,0.009589,0.07948,0
16.88,9.244,16.62,10.92,-0.4344,2.119,0.04682,0.3328,0.9984,0.08534,0.01286,0.1186,0.001065,-0.01573,0.1128,0.01574,0.01376,-0.01252,0.1048,0
14.3,9.556,19.11,13.06,-0.8496,1.531,-0.00532,0.08888,0.6975,0.1094,-0.000249,0.07137,0.02134,-0.005934,0.142,-9.1e-05,-0.004709,0.01273,0.06351,0
13.88,12.12,19.63,11.95,0.7303,0.8494,0.002762,-0.3832,0.9328,0.104,0.001096,0.07071,-0.022,0.000882,0.1388,-0.01812,0.00713,-0.003821,0.08141,0
14.46,13.42,19.39,13.04,-0.6274,2.137,0.02758,-0.1462,0.2294,0.08498,-0.02442,0.1011,0.001243,-0.02008,0.09042,-0.003655,0.01002,0.002635,0.07414,0
14.93,10.66,19.28,11.38,0.1729,1.199,0.03635,0.7296,0.3489,0.09495,0.001641,0.1437,-0.01558,-0.01441,0.1272,-0.01093,-0.01241,0.01963,0.07167,0
16.6,11.82,19.26,11.84,-0.3991,1.358,0.04994,0.593,0.645,0.07501,-0.002271,0.07611,0.003347,0.002812,0.08678,-0.002644,0.001452,-0.003961,0.06305,0
14.18,9.635,19.03,13.15,0.2284,0.1566,0.03747,0.2616,1.184,0.09636,-0.001619,0.09643,-0.000802,-0.001388,0.1068,-0.02542,0.000266,-0.006496,0.0903,0
13.98,10.66,17.28,12.16,0.002766,0.3751,0.01018,-0.054,0.4257,0.09078,0.02115,0.1307,0.004561,0.008623,0.1137,0.004585,0.006804,0.01063,0.05507,0
13.01,9.688,21.61,11.96,-0.5752,1.045,0.04123,0.2067,0.291,0.07208,0.007476,0.1166,0.01606,-0.009259,0.1091,-0.004664,0.002289,-0.004722,0.06968,0
15.4,11.37,13.28,13.38,-0.5294,1.521,0.05019,0.397,0.8187,0.08622,0.00957,0.149,0.003817,-0.003827,0.1025,-0.005171,0.01995,-0.004469,0.0773,0
13.51,11.4,20.79,12.06,-0.9944,1.355,0.0248,0.4498,0.7235,0.101,-0.0182,0.1098,-0.01486,-0.004534,0.1111,0.02284,-0.006675,-0.01321,0.1042,0
14.65,13.2,17.9,12.63,-0.332,1.104,0.02948,1.07,0.2549,0.07963,0.001372,0.09378,0.01669,-0.006957,0.1223,-0.005332,-0.002798,0.001109,0.06364,0
14.33,12.14,18.16,11.26,-0.3329,0.5556,0.02589,0.3252,0.5342,0.1022,-0.02267,0.09533,0.02034,-0.02196,0.08901,-0.00521,-0.001374,-0.01257,0.0822,0
15,9.705,20.7,13.34,-0.6428,0.6374,0.03255,0.3355,0.421,0.1088,0.01225,0.07566,0.03173,0.01184,0.1395,-0.001329,-0.008302,-0.01454,0.06192,0
13.82,10.36,21.32,13.67,-0.9646,1.193,0.0547,0.2832,0.9211,0.07768,0.01371,0.1013,-0.004569,-0.01186,0.1161,0.001508,0.006572,-0.0024,0.05387,0
14.69,9.645,19.39,10.99,-0.5465,1.896,0.06148,0.7229,0.7182,0.1176,-0.01185,0.09844,-0.002367,0.003628,0.1296,0.01232,0.001267,-0.01878,0.07276,0
14.49,11.18,21,12.21,0.01857,0.369,0.04364,-0.1145,1.042,0.1151,-0.0286,0.1268,-0.02587,0.01375,0.09936,-0.00331,0.01506,-0.004009,0.05482,0
15.82,11.29,18.18,11.51,-0.3101,2.037,0.04539,0.2584,0.6329,0.1075,0.002642,0.0889,0.005274,-0.003018,0.1121,0.008946,-0.005292,0.00789,0.07672,0
14.5,11.77,20.12,11.05,-0.552,2.205,0.03282,-0.004619,0.3812,0.0882,-0.002107,0.09958,0.008166,-0.01184,0.1244,-0.002373,0.0182,-0.02694,0.09179,0
13.07,11.29,16.37,11.46,-0.5923,-0.189,-0.009659,0.7966,0.8832,0.06308,0.007174,0.09797,-0.005522,-0.009905,0.09786,0.007366,0.0241,-0.007075,0.08916,0
15.98,9.636,19.42,11.93,-0.3374,0.3783,0.05563,0.6926,0.8255,0.08134,0.009383,0.09302,-0.01409,-0.01623,0.1167,-0.002428,-0.008471,0.002869,0.07268,0
14.67,11.45,16.5,12.31,-0.8631,1.046,0.07597,1.359,0.6265,0.08117,0.002392,0.1102,-0.01698,-0.005282,0.09996,-0.005278,0.01227,0.02277,0.09742,0
14.36,10.89,19.33,11.17,-0.4489,0.7544,0.05556,-0.06496,0.7414,0.08376,0.015,0.1007,0.014,0.00658,0.09089,0.00195,0.007804,-0.008336,0.08804,0
15.02,11.12,20.53,12.62,-0.5933,0.9842,0.06925,0.9909,0.8957,0.08996,-0.003918,0.08567,0.003487,-0.008378,0.1278,-0.008622,-0.005409,0.006818,0.07974,0
13.62,10.56,19.91,15.86,-0.002359,1.325,-0.008436,0.05562,0.2066,0.1211,0.02001,0.08646,0.004893,0.01237,0.09304,-0.01548,-0.009856,0.001933,0.08424,0
14.98,11.14,19.56,12.52,-0.3739,0.7808,0.05076,-0.5138,0.4327,0.09732,-0.0221,0.1154,0.01262,0.006197,0.1264,-0.00406,-0.005961,0.002557,0.07716,0
15.99,11.72,18.15,12.71,-0.1307,1.477,0.02444,0.5716,1.017,0.08264,-0.01375,0.09449,0.01656,0.01629,0.1062,-0.004281,-0.003707,0.003952,0.08484,0
13.85,11.41,20.02,14.01,0.07906,1.378,0.04468,0.1328,0.9084,0.08555,-0.004389,0.09376,-0.01724,0.005608,0.1374,0.000997,-0.002843,-0.009639,0.06661,0
14.81,10.6,19.51,13.45,-0.8765,1.484,0.07321,0.4765,0.5803,0.07815,-0.01012,0.08676,0.005498,0.00902,0.1001,0.00474,-0.001658,-0.006404,0.06457,0
14.23,12.59,18.25,12.09,-0.3832,-0.3042,0.04722,0.5483,0.5105,0.09701,-0.009178,0.131,4.1e-05,-0.0168,0.08148,0.005024,0.002349,0.009813,0.07278,0
12.49,13.86,19.67,13.88,-0.636,1.746,0.08887,-0.1816,0.4601,0.07407,0.00857,0.08873,0.001232,0.007764,0.09936,-0.009698,0.003567,0.01172,0.08686,0
15.01,12.12,15.55,12.98,-0.6596,0.04157,-0.01477,0.5079,0.8868,0.1018,-0.01008,0.1056,0.02198,0.001043,0.09534,-0.006729,0.01094,0.002443,0.06973,0
16.92,12.48,22.52,12.29,-0.4339,1.598,0.05923,0.7422,0.00145,0.08061,-0.0169,0.1187,0.002538,-0.01647,0.08207,0.007131,-0.0152,0.01244,0.06506,0
13.54,11.32,24.02,12.63,-0.3114,1.432,0.04057,0.5244,0.5752,0.1389,-0.01016,0.089,-0.01499,0.004174,0.1124,-0.005164,0.007986,0.000392,0.08074,0
15,10.7,19.48,12.99,-0.6147,0.5714,0.04074,0.07765,0.1062,0.101,0.01858,0.09587,-0.0043,0.01311,0.1291,-0.0221,-0.003882,0.01472,0.06283,0
15.72,10.08,22.23,11.73,-0.3941,0.4104,-0.03216,-0.4676,0.707,0.07882,-0.001174,0.07818,-0.008862,0.000642,0.07229,0.003647,-0.00269,-0.007054,0.0841,0
14.92,11.76,18,11.44,0.1973,0.6208,-0.003426,0.3977,1.126,0.1086,0.007222,0.1124,0.01156,0.02783,0.08847,-0.009154,0.007182,0.003776,0.06553,0
12.97,12.5,21.38,13.82,-0.3332,0.4906,-0.01381,0.1358,0.4358,0.09311,-0.008204,0.1089,0.01253,-0.01483,0.1095,-0.005855,0.01208,-0.01621,0.05471,0
15.72,10.66,18.05,13.88,-0.4783,1.487,-0.001619,0.724,0.8944,0.1,-0.01592,0.1406,0.00024,0.00515,0.1065,0.000693,-0.01034,0.0204,0.09763,0
15.54,12.35,16.96,11.8,-0.1498,1.505,0.04041,-0.2351,0.7111,0.09025,0.0153,0.1466,-0.01117,-0.01425,0.08207,-0.007829,0.004731,0.008883,0.09013,0
13.44,11.84,16.07,11.87,-0.7962,1.818,0.05405,-0.2614,0.7187,0.09304,-0.00761,0.09204,-0.004154,0.002456,0.08727,-0.001063,0.002618,-0.008098,0.09277,0
14.66,9.817,16.52,14.89,-0.2039,1.642,0.03505,-0.04207,0.5237,0.08721,0.006429,0.09226,0.002461,-0.01264,0.09293,0.01109,-0.01766,-0.001158,0.08152,0
14.21,8.524,16.37,13.46,0.06696,0.8657,0.05085,0.2185,0.9253,0.07368,0.007355,0.09797,0.0162,-0.002172,0.1014,0.01052,-0.000366,-0.006173,0.07526,0
16.11,9.086,18.33,12.53,-0.7554,0.4039,0.03954,-0.2184,0.7074,0.09291,-0.04831,0.1297,-0.005193,0.007641,0.1029,0.006453,-0.002063,-0.02714,0.08889,0
14.47,10.32,19.58,14.19,-0.5357,1.407,0.06779,1.221,0.6349,0.1051,0.01304,0.1014,-0.02974,-0.002896,0.1256,-0.01828,0.006123,-0.00312,0.07184,0
14.22,12.73,18.75,13.6,-0.5229,0.2341,0.03536,0.1463,0.8908,0.09778,-0.005581,0.1293,0.0164,0.006802,0.09929,-0.01254,0.004234,0.002282,0.0952,0
14.71,11.11,19.89,13.74,-0.5856,0.2032,0.000646,0.2278,1.072,0.1223,0.02302,0.0901,0.01278,0.01393,0.1356,0.0189,0.008315,-0.008872,0.0836,0
15.28,9.722,17.98,10.65,-0.03451,1.47,0.07684,0.3806,0.756,0.1266,0.003734,0.08952,-0.000407,0.009957,0.1074,-0.01095,0.00301,0.009074,0.07502,0
14.57,9.227,19.82,13.6,0.06688,1.557,0.03866,0.5276,0.7693,0.1007,-0.002929,0.118,0.01044,0.004758,0.1117,0.01012,0.004717,-0.02267,0.07563,0
13.96,12.34,17.68,12.72,-0.129,1.215,0.07111,0.002568,0.5217,0.09078,-0.003609,0.1182,0.01752,-0.009543,0.07219,-0.007245,-0.000605,-0.005337,0.09556,0
15.74,10.54,17.22,13.44,-0.3046,1.038,0.02387,0.1752,0.6348,0.1105,0.002874,0.127,-0.004329,0.008112,0.1036,-0.000217,0.01675,0.01127,0.07402,0
15.78,12.13,21.48,12.03,-0.7639,-0.329,0.03324,-0.7327,0.7924,0.1072,-0.005422,0.08098,0.003969,0.01924,0.09368,-0.003043,-0.01427,-0.01082,0.08346,0
13.65,8.249,20.49,11.68,-0.4384,1.364,0.05964,-0.45,0.5359,0.09715,-0.01615,0.1549,-0.02095,-0.01246,0.1229,-0.006882,0.01423,-0.000448,0.09316,0
13.68,9.228,15.66,13.34,-0.4527,1.317,0.04889,1.252,0.689,0.07297,-0.0073,0.1308,-0.003018,0.00188,0.1006,-0.01618,-0.004658,-0.0239,0.08649,0
13.86,11.12,17.55,11.27,-0.42,0.6495,0.0163,0.4734,0.5236,0.103,0.003691,0.1045,0.007001,-0.01986,0.1291,-0.01255,0.01206,-0.008482,0.07365,0
15.17,11.14,18.26,13.46,-0.1106,1.413,0.002101,-0.2503,0.7353,0.0842,0.01915,0.1238,0.002851,0.01346,0.1179,-0.01066,0.002171,-0.02415,0.09701,0
14.86,12.36,17.39,13.58,-0.6201,1.049,0.02225,1.127,1.552,0.08917,-0.01058,0.1235,0.01306,-0.02564,0.09853,0.008689,-0.0178,0.005913,0.07927,0
14.09,11.6,17.61,12.32,-0.1932,1.737,0.03191,0.3727,0.8714,0.09312,0.00559,0.1302,-0.005998,0.03966,0.1023,0.009075,0.009459,0.000492,0.06549,0
13.9,10.07,19.6,11.43,-0.3846,1.072,-0.009233,-0.12,0.7183,0.06717,0.01066,0.1313,-0.01313,-0.03983,0.1278,-0.005029,-0.0117,0.002005,0.06353,0
13.89,8.39,19.07,11.59,0.3366,1.94,0.002467,-0.2356,1.174,0.09813,-0.002851,0.09194,-0.005975,0.01091,0.1358,0.005958,-0.002938,0.007677,0.06152,0
15.43,11.18,19.92,13.99,-0.7357,0.3035,0.01705,0.31,0.3052,0.07602,-0.007429,0.09738,0.01375,-0.01555,0.1133,-0.005977,-0.000917,-0.0133,0.07786,0
14.49,9.544,20.71,12.38,0.1127,-0.04433,0.02253,0.7164,0.3318,0.08106,0.01199,0.1361,-0.004274,-0.004516,0.09344,0.007699,0.006244,0.01347,0.1208,0
14.52,11.58,20.18,12.88,-0.7545,0.6152,0.005847,0.01143,1.021,0.1042,-0.01149,0.08688,0.01531,0.01118,0.1164,-0.003193,0.005378,0.002692,0.06421,0
13.74,12.43,19.32,10.61,-0.2872,0.6035,0.01178,0.2911,-0.04142,0.07217,0.002432,0.1133,0.006539,0.000102,0.1026,0.005472,0.0302,0.01235,0.09637,0
14.73,10.95,19.28,11.43,-0.4873,0.5429,-0.001351,1.136,0.3415,0.0793,-0.01078,0.07138,-0.007722,0.009494,0.095,0.000186,-0.006574,-0.009631,0.07207,0
16.32,11.24,16.59,13.26,-0.4041,0.3899,0.02751,0.5834,0.448,0.1252,0.01249,0.09925,-0.01532,-0.005337,0.1018,0.01712,0.001373,-0.01172,0.08118,0
14.94,12.1,17.52,11.39,-0.7575,0.529,0.04379,-0.309,0.9686,0.08875,0.001774,0.09199,0.01063,0.01376,0.09321,0.000154,-0.02317,-0.01016,0.06385,0
13.3,10.82,19.47,14.24,-0.2918,0.5657,0.0144,0.548,0.8302,0.1088,0.01425,0.1031,0.00066,-0.02653,0.1264,-0.02051,-0.000825,-0.002239,0.08035,0
14.23,11.55,19.78,13.05,-0.616,-0.2794,0.05759,0.5229,0.6158,0.1041,-0.01439,0.08575,-0.01044,-0.01841,0.1227,-0.0159,0.01662,-0.0057,0.07412,0
12.47,10.96,17.63,11.38,-0.734,0.1983,0.008244,0.1048,0.6885,0.09226,0.01275,0.09529,0.001859,0.02673,0.1479,0.007961,0.007866,0.006333,0.06934,0
14.3,11.77,21.42,13.74,-0.371,2.143,0.03721,0.7425,0.4643,0.07467,0.009461,0.1264,0.01328,0.001189,0.1092,0.01455,-0.01336,0.000808,0.08195,0
16.14,9.804,20.25,13.2,-0.4751,-0.5494,0.04103,0.31,0.7212,0.07195,-0.001821,0.1186,-0.02058,0.00798,0.1005,0.002903,0.006636,0.00262,0.05858,0
14.52,13.09,17.44,10.3,-0.3151,1.019,0.02925,-0.1868,0.5502,0.09388,-0.02146,0.1206,0.004707,-0.00014,0.149,0.008062,0.006751,-0.003714,0.06497,0
14.91,9.852,20.34,15.08,-0.3043,2.024,0.005016,-0.113,0.3567,0.09647,0.006661,0.1445,0.001189,-0.000321,0.0954,0.004419,-0.00625,-0.001118,0.0612,0
15.31,10.14,18.35,13.78,-0.2688,1.147,0.04285,1.056,0.8692,0.104,-0.006582,0.1424,0.01633,0.01064,0.1297,0.01641,-0.01375,-0.000779,0.08276,0
13.33,12.05,19.77,13.69,-0.5435,-0.06955,0.07517,0.2258,1.142,0.1089,-0.02407,0.1113,0.009315,-0.01316,0.1147,0.01935,-0.02583,0.009645,0.07722,0
14.66,8.753,21.33,12,-0.4094,0.8751,0.05784,0.4149,0.7378,0.1,0.004171,0.08557,0.007058,0.007115,0.09579,-0.01535,0.000588,-0.004814,0.07395,0
15.69,11.64,16.31,12.87,-0.203,0.07829,0.003992,-0.2597,0.9179,0.07123,-0.009938,0.13,-0.000364,-0.01094,0.1192,0.003494,-0.003438,-0.008592,0.0601,0
14.6,10.53,16.04,14.19,0.1605,2.193,0.01846,0.6775,0.3151,0.0679,-0.001815,0.09865,0.0116,-0.002405,0.1215,0.006372,0.000764,0.01053,0.07052,0
14.67,9.035,19.49,13.52,-0.281,0.7658,0.05538,0.8856,-0.0215,0.09363,0.001094,0.08499,-0.004015,-0.002831,0.1094,0.008753,-0.007975,0.0215,0.05703,0
14.71,8.529,17.89,11.08,-1.031,0.2451,0.01936,0.7211,0.3015,0.1473,-0.01805,0.09912,-0.00132,-0.00031,0.09608,-0.00119,0.00657,0.002738,0.07387,0
15.93,8.48,17,14.82,-0.6998,0.8275,-0.005408,-0.3775,-0.264,0.09202,-0.01667,0.1337,-0.01116,0.02895,0.1103,0.004953,-0.005325,-0.03042,0.1167,0
15.74,13.29,17.61,10.68,0.1693,1.161,0.02001,0.08695,0.7191,0.1128,-0.01201,0.1126,-0.01272,0.01706,0.1063,-9.9e-05,0.002627,-0.006101,0.09488,0
15.29,11.44,18.05,13.65,-0.4527,0.2959,0.03107,0.4022,0.5201,0.08936,-0.000928,0.0923,-0.001621,-0.004846,0.1155,-0.003128,0.0126,-0.01281,0.07049,0
14.35,10.39,18.99,13.31,0.1661,1.603,0.02665,-0.3659,0.4807,0.1174,-0.01258,0.08017,7.6e-05,-0.002841,0.1138,-0.001335,-0.007265,-0.00504,0.06697,0
13.7,8.903,18.86,11.16,-0.8314,1.091,0.0168,0.441,0.443,0.1003,0.000537,0.08864,0.01617,-0.008313,0.1082,-0.01727,-0.002457,0.007066,0.06566,0
12.43,10.31,22.74,14.38,-0.1015,0.7291,0.02784,-0.01309,1.28,0.08549,-0.000639,0.1196,-0.006062,0.002226,0.1024,0.001222,0.004879,0.02047,0.1181,0
15.02,13.42,19.82,10.97,-0.3426,1.177,0.06805,0.2585,1.022,0.08554,0.02141,0.1052,-0.02402,-0.001883,0.1169,-0.01192,-0.01096,-0.0052,0.0837,0
14.64,10.88,17.2,12.25,-0.5582,1.504,0.03029,0.8828,0.923,0.126,0.0267,0.1151,0.004112,-0.007184,0.1008,0.002228,-0.01551,0.005361,0.0686,0
14.17,11.13,17.79,13.9,-0.01426,0.8542,0.07529,0.8339,1.159,0.08944,-0.01779,0.1432,-0.003531,0.03587,0.1841,-0.03322,0.02193,0.03123,0.0973,0
14.33,11.37,20.22,14.45,0.1123,1.179,0.01597,-0.2974,0.1132,0.07498,0.006979,0.1152,-0.002384,-0.003869,0.1082,-0.003006,0.004629,-0.009856,0.06736,0
14.97,12.31,15.69,11.33,-0.6015,1.378,0.01386,0.428,0.8781,0.08176,0.01172,0.08774,0.007539,0.00856,0.1012,-0.002265,-0.01849,0.006314,0.07245,0
14.8,11.66,16.97,13.05,-1.114,1.318,0.04016,0.2032,0.4259,0.1053,-0.02265,0.1247,-0.02576,0.02055,0.1151,-0.000838,-6e-04,0.001168,0.08838,0
14.04,10.02,19.11,10.95,-1.117,1.144,-0.003694,-0.7672,-0.137,0.08891,-0.005373,0.09523,-0.004386,0.001184,0.1043,-0.003711,0.02049,0.001565,0.08555,0
14.02,12.08,16.9,13.99,-0.3051,1.686,0.02986,-0.4723,0.5167,0.09484,0.002962,0.1105,-0.004595,-0.01769,0.1113,0.002594,-0.008108,0.01977,0.07583,0
14.14,10.35,18.27,11.71,-0.3904,-0.1081,0.06023,1.275,1.263,0.1117,0.000923,0.08583,0.008343,0.009363,0.08514,-0.005566,0.000425,0.000563,0.07055,0
14.28,13.56,17.87,13.5,-0.6102,1.26,0.02593,0.3074,0.5936,0.1186,-0.004676,0.1062,-0.007934,-0.008506,0.1131,0.006095,-0.02339,-0.000367,0.07144,0
14.5,11.23,19.37,10.37,-0.7758,0.5165,0.04392,0.2247,0.6558,0.11,0.006409,0.1171,-0.0153,0.009808,0.123,-0.006671,-0.002035,-0.000904,0.08183,0
14.98,12.83,16,10.91,-0.3789,1.422,0.02011,0.672,0.1435,0.08828,-0.007787,0.112,0.006954,-0.000551,0.09723,-0.008277,0.007654,0.01722,0.119,0
16.32,11.17,21.14,12.19,-0.6295,0.6872,0.01966,0.512,0.8095,0.09874,0.008395,0.09842,-0.02281,0.004951,0.09494,-0.000257,-0.009576,-0.009802,0.07523,0
16.56,9.048,17.19,13.92,-0.2204,1.494,0.03015,0.2244,0.7782,0.102,0.01234,0.07357,0.005822,-0.004154,0.08938,0.005879,0.004454,0.000388,0.08189,0
15.06,9.908,18,12.15,-0.6115,0.778,0.05214,0.1969,0.8713,0.06761,0.000526,0.07898,-0.002535,-0.001514,0.09204,-0.006246,3.9e-05,0.004755,0.05174,0
13.94,10.55,17.92,12.33,-0.4159,1.42,0.03178,0.09492,0.6424,0.08497,0.02041,0.1408,-0.01128,-0.01125,0.1288,0.009138,-0.02782,-0.002083,0.08183,0
14.92,11.39,17.04,13.98,0.441,0.0879,0.01924,-0.5419,0.721,0.07935,0.0173,0.08342,0.01076,0.01699,0.1232,0.01277,0.000432,0.01075,0.08195,0
12.04,9.965,16.43,13.99,-0.7819,1.421,0.006091,0.0792,1.585,0.128,-0.02028,0.09372,0.01769,0.000336,0.1165,-0.01542,0.00537,-0.003199,0.0505,0
14.98,10.32,19.9,11.14,-0.1761,1.907,0.01173,0.3895,1.012,0.0938,0.02066,0.09009,0.002812,-0.000295,0.1026,-0.004137,-0.002489,-0.00785,0.08021,0
13.7,9.16,20.24,13.28,-0.6143,0.4453,0.006132,0.4561,0.3554,0.0782,0.001741,0.08904,-0.01946,-0.01824,0.135,-0.006263,-0.002633,-0.0046,0.07008,0
13.5,11.08,18.69,11.93,-0.2452,1.379,0.04888,0.4294,0.667,0.1134,0.01648,0.09152,-0.014,-0.001478,0.1012,-0.01537,-0.01151,0.01771,0.06776,0
12.39,11.25,17.44,13.72,-0.4845,1.266,0.03701,0.3679,0.8325,0.1049,-0.01561,0.07722,-0.01766,-0.00425,0.134,-0.001135,0.004454,-0.00093,0.08388,0
15.12,13.26,19.41,12.96,-0.3926,1.553,0.02848,0.6097,0.5751,0.08552,0.004723,0.1036,0.003955,-0.01239,0.1457,0.01384,-0.007178,-0.002906,0.08564,0
13.78,10.94,19.37,12.01,-0.6275,1.774,0.04546,0.3146,0.7544,0.08189,0.01278,0.1026,0.007537,0.007815,0.1052,0.006432,-0.001317,-9.2e-05,0.06799,0
